url,image,name
https://brightdata.com/use-cases/ecommerce,https://brightdata.com/wp-content/uploads/2022/07/E_commerce.svg,eCommerce
https://brightdata.com/use-cases/social-media-for-marketing,https://brightdata.com/wp-content/uploads/2022/07/Social_Media_for_Marketing.svg,Social Media for Marketing
https://brightdata.com/use-cases/real-estate,https://brightdata.com/wp-content/uploads/2023/02/real_estate-1.svg,Real Estate
https://brightdata.com/use-cases/adtech,https://brightdata.com/wp-content/uploads/2022/07/Ad_Tech.svg,Ad Tech
https://brightdata.com/use-cases/serp,https://brightdata.com/wp-content/uploads/2022/07/Search_Engine_Results_Crawling.svg,SERP & SEO
https://brightdata.com/use-cases/market-research,https://brightdata.com/wp-content/uploads/2022/07/Market_Research.svg,Market Research
https://brightdata.com/use-cases/travel,https://brightdata.com/wp-content/uploads/2022/07/Travel.svg,Travel
https://brightdata.com/use-cases/financial,https://brightdata.com/wp-content/uploads/2022/07/Financial_Services_Data.svg,Financial Services Data
https://brightdata.com/use-cases/data-security,https://brightdata.com/wp-content/uploads/2023/11/data_security.svg,Data Security
https://brightdata.com/use-cases/data-for-ai,https://brightdata.com/wp-content/uploads/2023/11/data-for-ai_on_white.svg,Data for AI
